Host;IPs;Grupos
MZ-IT-GR-SR-001-A;10.215.116.12;Router e 6500
MZ-IT-GR-SR-002-B;10.215.116.13;Router e 6500
MZ-IT-GR-ST-038-A;10.215.118.6;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-039-B;10.215.118.5;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-052-A;10.215.224.27;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-053-A;10.215.224.28;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-058-A;10.215.118.26;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-059-B;10.215.118.27;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-085-A;10.215.119.123;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-086-B;10.215.119.124;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-111-A;10.215.119.243;SWITCH, SWITCH\CISCO
MZ-IT-GR-ST-112-B;10.215.119.244;SWITCH, SWITCH\CISCO
MZ-IT-IC-CM-FW-700A;10.215.113.22;ASA/FIREWALL
MZ-IT-IC-CM-FW-700B;10.215.113.23;ASA/FIREWALL
MZ-IT-IC-CM-SW-701A;10.215.244.46;Nexus
MZ-IT-IC-CM-SW-701B;10.215.244.47;Nexus
MZ-IT-IE-C0-SW-404A;10.215.237.192;Nexus
MZ-IT-IE-C0-SW-404B;10.215.237.193;Nexus
MZ-IT-IE-C1-FW-410A;10.215.112.4;FORTINET\FIREWALL, InternetEmpresas
MZ-IT-IE-C1-FW-410B;10.215.112.4;FORTINET\FIREWALL, InternetEmpresas
MZ-IT-IE-C1-SFI-403-A;10.215.237.104;Migrados
MZ-IT-IE-C1-SFI-403-B;10.215.237.105;Migrados
MZ-IT-IE-C1-SW-405A;10.215.237.194;Nexus
MZ-IT-IE-C1-SW-405B;10.215.237.195;Nexus
MZ-IT-IE-C2-SW-413A;10.215.245.18;Nexus
MZ-IT-IE-C2-SW-413B;10.215.245.19;Nexus
MZ-IT-IE-CM-BC-414A;10.215.124.160;F5 BIG-IP, InternetEmpresas
MZ-IT-IE-CM-BC-414B;10.215.124.161;F5 BIG-IP, InternetEmpresas
MZ-IT-IE-CM-SFI-411-A;10.215.243.47;Migrados
MZ-IT-IE-CM-SFI-411-B;10.215.243.49;Migrados
MZ-IT-IE-CM-SFI-412-A;10.215.243.67;Migrados
MZ-IT-IE-CM-SFI-412-B;10.215.243.68;Migrados
MZ-IT-IE-CM-V-BC-415A;10.215.124.155;F5 BIG-IP, InternetEmpresas
MZ-IT-IE-CM-V-BC-415B;10.215.124.156;F5 BIG-IP, InternetEmpresas
MZ-IT-MB-101-SP-122A;10.215.244.26;ACI PF, PessoaFisica
MZ-IT-MB-102-SP-122B;10.215.244.27;ACI PF, PessoaFisica
MZ-IT-MB-1001-LF-123A;10.215.244.28;ACI PF, PessoaFisica
MZ-IT-MB-1002-LF-123B;10.215.244.29;ACI PF, PessoaFisica
MZ-IT-MB-1003-LF-123C;10.215.244.30;ACI PF, PessoaFisica
MZ-IT-MB-1004-LF-123D;10.215.244.31;ACI PF, PessoaFisica
MZ-IT-MB-1901-BL-125A;10.215.244.34;ACI PF, PessoaFisica
MZ-IT-MB-1902-BL-125B;10.215.244.35;ACI PF, PessoaFisica
MZ-IT-MB-1921-SL-124A;10.215.244.32;ACI PF, PessoaFisica
MZ-IT-MB-1922-SL-124B;10.215.244.33;ACI PF, PessoaFisica
MZ-IT-MB-APIC-121A;10.215.244.20;ACI PF, PessoaFisica
MZ-IT-MB-APIC-121B;10.215.244.21;ACI PF, PessoaFisica
MZ-IT-MB-APIC-121C;10.215.244.22;ACI PF, PessoaFisica
MZ-IT-MB-FW-135A;10.215.244.226;ASA/FIREWALL, PessoaFisica
MZ-IT-MB-FW-135B;10.215.244.227;ASA/FIREWALL, PessoaFisica
MZ-IT-NOCSOC-SW-1A;10.215.238.83;NOCSOC_INTERNET
MZ-IT-NOCSOC-SW-1B;10.215.238.84;NOCSOC_INTERNET
MZ-IT-NODE-ND-128B-CIMC;10.215.244.40;PessoaFisica
MZ-IT-NSX-C1-EN-712A;10.215.243.211, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-C1-EN-712B;10.215.243.212, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-C1-EN-712C;10.215.243.213, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-C1-EN-712D;10.215.243.214, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-C1-EN-T1-713A;10.215.243.215;NSX_VM, PessoaJuridica
MZ-IT-NSX-C1-EN-T1-713B;10.215.243.216;NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-714A;10.215.243.223, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-714B;10.215.243.224, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-714C;10.215.243.225, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-714D;10.215.243.226, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-716A;10.215.243.237, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-716B;10.215.243.238, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-716C;10.215.243.233, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-716D;10.215.243.234, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-716E;10.215.243.235;NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-716F;10.215.243.236, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-T1-715A;10.215.243.227, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-EN-T1-715B;10.215.243.228, {#HV.IP}, {#VM.IP};NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-ENB-717A;10.215.123.209;NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-ENB-717B;10.215.123.210;NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-ENB-717C;10.215.123.211;NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-ENB-717D;10.215.123.212;NSX_VM, PessoaJuridica
MZ-IT-NSX-CM-MGR-710;10.215.127.80;NSX_VM
MZ-IT-NSX-CM-MGR-710A;10.215.127.83;NSX_VM
MZ-IT-NSX-CM-MGR-710B;10.215.127.78;NSX_VM
MZ-IT-NSX-CM-MGR-710C;10.215.127.79;NSX_VM
MZ-IT-PF-C0-RT-139A;10.215.244.223;Roteadores de Borda
MZ-IT-PF-C0-RT-139B;10.215.244.224;Roteadores de Borda
MZ-IT-PF-C0-RT-139C;10.215.244.225;Roteadores de Borda
MZ-IT-PF-C1-FW-130A;10.215.113.55;ASA/FIREWALL, PessoaFisica
MZ-IT-PF-C1-FW-130B;10.215.113.56;ASA/FIREWALL, PessoaFisica
MZ-IT-PF-C1-FW-131A;10.215.244.53;ASA/FIREWALL, PessoaFisica
MZ-IT-PF-C1-FW-131A-teste;10.215.244.53;teste
MZ-IT-PF-C1-FW-131B;10.215.244.54;ASA/FIREWALL, PessoaFisica
MZ-IT-PF-C1-FW-131B-teste;10.215.244.54;teste
MZ-IT-PF-C1-SW-116A;10.215.236.215;PessoaFisica
MZ-IT-PF-C1-SW-116B;10.215.236.216;PessoaFisica
MZ-IT-PF-C1-V-BC-116A;10.215.237.243;F5 BIG-IP, PessoaFisica
MZ-IT-PF-C1-V-BC-116B;10.215.237.244;F5 BIG-IP, PessoaFisica
MZ-IT-PF-C2-BC-101A;10.215.118.99;F5 BIG-IP, PessoaFisica
MZ-IT-PF-C2-BC-101B;10.215.118.100;F5 BIG-IP, PessoaFisica
MZ-IT-PF-C2-SR-102A;10.215.241.222;PessoaFisica
MZ-IT-PF-C2-SR-102B;10.215.241.223;PessoaFisica
MZ-IT-PF-C2-V-BC-118A;10.215.237.247;F5 BIG-IP, PessoaFisica
MZ-IT-PF-C2-V-BC-118B;10.215.237.248;F5 BIG-IP, PessoaFisica
MZ-IT-PF-C2-V-FW-111A;10.215.251.148;CHECKPOINT/FIREWALL, PessoaFisica
MZ-IT-PF-C3-V-FW-112A;10.215.253.145;CHECKPOINT/FIREWALL, PessoaFisica
MZ-IT-PF-CM-FW-110A;10.215.242.105;CHECKPOINT/FIREWALL, PessoaFisica
MZ-IT-PF-CM-FW-110B;10.215.242.106;CHECKPOINT/FIREWALL, PessoaFisica
MZ-IT-PF-CM-FW-110B_TESTE1;10.215.242.106;CHECKPOINT/FIREWALL, PessoaFisica
MZ-IT-PF-CM-SFI-132-A;10.215.126.18;PessoaFisica
MZ-IT-PF-CM-SFI-132-B;10.215.126.19;PessoaFisica
MZ-IT-PF-CM-SFI-132_B;10.215.126.20;PessoaFisica
MZ-IT-PF-CM-SFI-133-A;10.215.127.162;PessoaFisica
MZ-IT-PF-CM-SFI-133-B;10.215.127.121;PessoaFisica
MZ-IT-PF-CM-SFI-133_A;10.215.127.52;PessoaFisica
MZ-IT-PF-HIB-NSX-EDGE-1A;10.199.109.214;NSX_VM
MZ-IT-PF-HIB-NSX-EDGE-1B;10.199.109.215, {#HV.IP}, {#VM.IP};NSX_HIBRIDA, NSX_VM
MZ-IT-PF-HIB-NSX-EDGE-1C;10.199.109.234, {#HV.IP}, {#VM.IP};NSX_HIBRIDA, NSX_VM
MZ-IT-PF-HIB-NSX-EDGE-1D;10.199.109.235, {#HV.IP}, {#VM.IP};NSX_HIBRIDA, NSX_VM
MZ-IT-PF-HIB-NSX-EDGE-1E;10.199.109.236, {#HV.IP}, {#VM.IP};NSX_HIBRIDA, NSX_VM
MZ-IT-PF-HIB-NSX-EDGE-1F;10.199.109.237;NSX_HIBRIDA, NSX_VM
MZ-IT-PJ-BLEAF-212A;10.215.237.163;PessoaJuridica, SWITCH\HUAWEI
MZ-IT-PJ-BLEAF-212B;10.215.237.164;PessoaJuridica, SWITCH\HUAWEI
MZ-IT-PJ-BLEAF-212C;10.215.237.165;PessoaJuridica, SWITCH\HUAWEI
MZ-IT-PJ-BLEAF-212D;10.215.237.166;PessoaJuridica, SWITCH\HUAWEI
MZ-IT-PJ-C1-SFI-205-A;10.215.237.96;Migrados
MZ-IT-PJ-C1-SFI-205-B;10.215.237.97;Migrados
MZ-IT-PJ-C2-BC-201A;10.215.118.148;F5 BIG-IP, PessoaJuridica
MZ-IT-PJ-C2-BC-201B;10.215.118.149;F5 BIG-IP, PessoaJuridica
MZ-IT-PJ-CM-FW;10.215.242.17;CHECKPOINT/FIREWALL, PessoaJuridica
MZ-IT-PJ-CM-FW-203A;10.215.242.13;CHECKPOINT/FIREWALL, PessoaJuridica
MZ-IT-PJ-CM-FW-203B;10.215.242.14;CHECKPOINT/FIREWALL, PessoaJuridica
MZ-IT-PJ-CM-SFI-217-B;10.215.243.30;PessoaJuridica
MZ-IT-PJ-CM-SFI-218-A;10.215.123.184;Migrados
MZ-IT-PJ-CM-SFI-218-B;10.215.123.185;Migrados
MZ-IT-PJ-FIEN-218A;10.215.237.189;PessoaJuridica
MZ-IT-PJ-FIEN-218B;10.215.237.190;PessoaJuridica
MZ-IT-PJ-FIN-216A;10.215.237.177;PessoaJuridica
MZ-IT-PJ-FIN-216B;10.215.237.178;PessoaJuridica
MZ-IT-PJ-FIN-216C;10.215.237.179;PessoaJuridica
MZ-IT-PJ-FIN-216D;10.215.237.180;PessoaJuridica
MZ-IT-PJ-FIN-216E;10.215.237.181;PessoaJuridica
MZ-IT-PJ-FIN-216F;10.215.237.182;PessoaJuridica
MZ-IT-PJ-FIN-216G;10.215.237.183;PessoaJuridica
MZ-IT-PJ-FIN-216H;10.215.237.184;PessoaJuridica
MZ-IT-PJ-FIN-216I;10.215.237.185;PessoaJuridica
MZ-IT-PJ-FIN-216J;10.215.237.186;PessoaJuridica
MZ-IT-PJ-HIB-NSX-EDGE-1A;10.199.109.216, {#HV.IP}, {#VM.IP};NSX_HIBRIDA, NSX_VM
MZ-IT-PJ-HIB-NSX-EDGE-1B;10.199.109.217, {#HV.IP}, {#VM.IP};NSX_HIBRIDA, NSX_VM
MZ-IT-PJ-LEAF-210A;10.215.237.157;Huawei, PessoaJuridica
MZ-IT-PJ-LEAF-210B;10.215.237.158;Huawei, PessoaJuridica
MZ-IT-PJ-LEAF-210C;10.215.237.159;Huawei, PessoaJuridica
MZ-IT-PJ-LEAF-210D;10.215.237.160;Huawei, PessoaJuridica
MZ-IT-PJ-LEAF-210E;10.215.237.161;Huawei, PessoaJuridica
MZ-IT-PJ-LEAF-210F;10.215.237.162;Huawei, PessoaJuridica
MZ-IT-PJ-LEAF-211A;10.215.237.169;Huawei, PessoaJuridica
MZ-IT-PJ-LEAF-211B;10.215.237.170;PessoaJuridica
MZ-IT-PJ-LEAF-FI-217A;10.215.237.189;PessoaJuridica, SWITCH\HUAWEI
MZ-IT-PJ-LEAF-FI-217B;10.215.237.188;PessoaJuridica, SWITCH\HUAWEI
MZ-IT-PJ-MPLS-208A;10.222.94.71;Migrados
MZ-IT-PJ-MPLS-208B;10.222.94.72;Migrados
MZ-IT-PJ-RR-213A;10.215.237.167;Huawei, PessoaJuridica
MZ-IT-PJ-RR-213B;10.215.237.168;Huawei, PessoaJuridica
MZ-IT-PJ-RT-207A;10.215.237.146;Roteadores de Borda
MZ-IT-PJ-RT-207B;10.215.237.147;Roteadores de Borda
MZ-IT-PJ-RT-207B_TESTE;10.215.237.147;Roteadores de Borda
MZ-IT-PJ-RT-207C;10.215.237.148;Roteadores de Borda
MZ-IT-PJ-RT-207C_TESTE;10.215.237.148;Roteadores de Borda
MZ-IT-PJ-SDN-215A;10.215.237.171;PessoaJuridica
MZ-IT-PJ-SDN-215B;10.215.237.172;PessoaJuridica
MZ-IT-PJ-SDN-215C;10.215.237.173;PessoaJuridica
MZ-IT-PJ-SDN-215D;10.215.237.174;PessoaJuridica
MZ-IT-PJ-SND-215E;10.215.237.175;PessoaJuridica
MZ-IT-PJ-SND-215F;10.215.237.176;PessoaJuridica
MZ-IT-PJ-SPINE-209A;10.215.237.153;Huawei, PessoaJuridica
MZ-IT-PJ-SPINE-209B;10.215.237.154;Huawei, PessoaJuridica
MZ-IT-PJ-SWB-001A;10.215.244.251;Migrados
MZ-IT-PJ-SWB-001B;10.215.244.252;PessoaJuridica
MZ-IT-SC-BC-003-A;10.215.224.161;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-BC-004-B;10.215.224.162;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-BC-307A;10.215.126.123;CITRIX, ServiçosCorporativo
MZ-IT-SC-CM-BC-307B;10.215.126.124;CITRIX, ServiçosCorporativo
MZ-IT-SC-CM-BC-311A;10.215.124.153;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-BC-311B;10.215.124.154;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-BC-312A;10.215.124.160;F5 BIG-IP
MZ-IT-SC-CM-BC-312B;10.215.124.161;F5 BIG-IP
MZ-IT-SC-CM-BC-317A;10.215.124.188;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-BC-317B;10.215.124.189;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-BC-321A;10.215.124.180;CITRIX, ServiçosCorporativo
MZ-IT-SC-CM-BC-321B;10.215.124.182;CITRIX, ServiçosCorporativo
MZ-IT-SC-CM-BC-323A;10.215.244.17;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-BC-323B;10.215.244.18;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-FW-304A;10.215.225.27;CHECKPOINT/FIREWALL, CHECKPOINT/VPN_SITE
MZ-IT-SC-CM-FW-304B;10.215.225.28;CHECKPOINT/FIREWALL, CHECKPOINT/VPN_SITE
MZ-IT-SC-CM-FW-305A;10.215.225.216;PALOALTO/FIREWALL
MZ-IT-SC-CM-FW-305B;10.215.225.217;PALOALTO/FIREWALL
MZ-IT-SC-CM-FW-313A;10.215.123.5;PALOALTO/FIREWALL
MZ-IT-SC-CM-FW-313B;10.215.123.6;PALOALTO/FIREWALL
MZ-IT-SC-CM-FW-313C;10.215.123.7;PALOALTO/FIREWALL
MZ-IT-SC-CM-FW-313D;10.215.123.8;PALOALTO/FIREWALL
MZ-IT-SC-CM-FW-313F;10.215.123.216;PALOALTO/FIREWALL
MZ-IT-SC-CM-FW-313G;10.215.123.217;PALOALTO/FIREWALL
MZ-IT-SC-CM-FW-313G_PILOTO;10.215.123.217;PALOALTO/FIREWALL
MZ-IT-SC-CM-SFI-307-A;10.215.225.220;Migrados
MZ-IT-SC-CM-SFI-307-B;10.215.225.221;Migrados
MZ-IT-SC-CM-SFI-309-A;10.215.123.101;Migrados
MZ-IT-SC-CM-SFI-309-B;10.215.123.102;Migrados
MZ-IT-SC-CM-SW-306A;10.215.225.46;Nexus
MZ-IT-SC-CM-SW-306B;10.215.225.47;Nexus
MZ-IT-SC-CM-V-BC-314A;10.215.124.155;F5 BIG-IP
MZ-IT-SC-CM-V-BC-314B;10.215.124.156;F5 BIG-IP
MZ-IT-SC-CM-V-BC-318A;10.215.124.162;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-V-BC-318B;10.215.124.163;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-V-BS-319A;10.215.124.164;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-CM-V-BS-319B;10.215.124.165;F5 BIG-IP, ServiçosCorporativo
MZ-IT-SC-FW-023-A;10.215.124.28;ASA\VPN_SITE
MZ-IT-SC-FW-023-A-homolog;10.215.124.28;ASA\VPN_SITE
MZ-IT-SC-FW-024-B;10.215.124.27;ASA\VPN_SITE
MZ-IT-SC-FW-037-A;10.215.233.138;ASA/FIREWALL, ServiçosCorporativo
MZ-IT-SC-FW-038-B;10.215.233.139;ASA/FIREWALL, ServiçosCorporativo
MZ-IT-SC-FW-041_VPN_CC_MATRIZ;10.215.224.173;ASA\VPN_CLIENT
MZ-IT-SC-FW-042_VPN_CC_MATRIZ;10.215.224.174;ASA\VPN_CLIENT
MZ-IT-SC-FW-044_VPN_MATRIZ;10.215.225.75;ASA\VPN_CLIENT
MZ-IT-SC-FW-045_VPN_MATRIZ;10.215.225.76;ASA\VPN_CLIENT
MZ-IT-SC-FW-046_VPNZINHA;10.215.225.73;VPNZINHA
MZ-IT-SC-FW-047_VPNZINHA;10.215.225.74;VPNZINHA
MZ-IT-SC-FW-048_VPN_MATRIZ;10.215.225.180;ASA\VPN_CLIENT
MZ-IT-SC-FW-049_VPN_MATRIZ;10.215.225.181;ASA\VPN_CLIENT
MZ-IT-SC-FW-050_VPN_MATRIZ;10.215.225.198;ASA\VPN_CLIENT
MZ-IT-SC-FW-051_VPNAGENCIAS_MATRIZ;10.215.225.199;ASA\VPN_CLIENT
MZ-IT-SC-FW-052_VPNAGENCIAS_MATRIZ;10.215.225.200;ASA\VPN_CLIENT
MZ-IT-SC-FW-055_VPN_MATRIZ;10.215.124.186;ASA\VPN_CLIENT
MZ-IT-SC-FW-304B;10.215.225.58;FORTINET\FIREWALL, ServiçosCorporativo
MZ-IT-SC-FW-305-A;10.215.123.214;FORTINET\FIREWALL, ServiçosCorporativo
MZ-IT-SC-GR-SWB-001A;10.215.238.64;NOCSOC_INTERNET
MZ-IT-SC-GR-SWB-001B;10.215.238.65;NOCSOC_INTERNET
MZ-IT-SC-LF-322A;10.215.241.235;Nexus
MZ-IT-SC-LF-322B;10.215.241.236;Nexus
MZ-IT-SC-PX-V-017A;10.215.243.254;BlueCoat
MZ-IT-SC-PX-V-017B;10.215.243.255;BlueCoat
MZ-IT-SC-PX-V-017B - PILOTO;10.215.243.255;BlueCoat
MZ-IT-SC-PX-V-018A;10.215.244.0;BlueCoat
MZ-IT-SC-PX-V-018B;10.215.244.1;BlueCoat
MZ-IT-SC-PX-V-019A;10.215.244.2;BlueCoat
MZ-IT-SC-PX-V-019B;10.215.244.3;BlueCoat
MZ-IT-SC-PX-V-020A;10.215.244.4;BlueCoat
MZ-IT-SC-PX-V-020B;10.215.244.5;BlueCoat
MZ-IT-SC-PX-V-021A;10.215.244.6;BlueCoat
MZ-IT-SC-PX-V-021B;10.215.244.7;BlueCoat
MZ-IT-SC-PX-V-022A;10.215.244.8;BlueCoat
MZ-IT-SC-PX-V-022B;10.215.244.9;BlueCoat
MZ-IT-SC-PX-V-022C;10.215.244.10;BlueCoat
MZ-IT-SC-PX-V-022D;10.215.244.16;BlueCoat
MZ-IT-SC-PX-V-023A;10.215.225.146;BlueCoat
MZ-IT-SC-PX-V-023B;10.215.225.147;BlueCoat
MZ-IT-SC-PX-V-023C;10.215.225.195;BlueCoat
MZ-IT-SC-SR-011-A;10.215.124.10;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZ-IT-SC-SR-012-B;10.215.124.14;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZ-IT-SC-SR-013-A;10.215.124.217;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZ-IT-SC-SR-014-B;10.215.124.218;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZ-IT-SFI-002-A;10.215.233.176;Migrados
MZ-IT-SFI-002-B;10.215.233.177;Migrados
MZ-IT-SFI-002_Cluster;10.215.233.178;Migrados
MZ-IT-SFI-003-A;10.215.240.129;Migrados
MZ-IT-SFI-003-B;10.215.240.130;Migrados
MZ-IT-SFI-003_Cluster;10.215.240.128;Migrados
MZ-IT-vRNI-P-CM-711A;10.215.127.90;NSX_VM
MZ-MF-MPLS-SW-001A;10.215.245.18;Migrados
MZ-MF-MPLS-SW-001B;10.215.245.19;Migrados
MZ-MF-N9K-DRX-1A;10.238.128.170;Migrados
MZ-MF-N9K-DRX-1B;10.238.128.172;Migrados
MZ-MF-N9K-DRX-2A;10.238.128.171;Migrados
MZ-MF-N9K-DRX-2B;10.238.128.173;Migrados
MZ-MF-NOC-1A;10.197.60.251;Migrados
MZ-MF-NOC-1B;10.197.60.252;Migrados
MZ-MF-NOC-2A;10.238.128.249;Migrados
MZ-MF-NOC-2B;10.238.129.250;MigradosNok
MZ-MF-NOC-FW-1A;10.198.1.253;ASA/FIREWALL
MZ-MF-NOC-FW-1B;10.198.1.254;ASA/FIREWALL, BackBone
MZ-MF-PIX-C0-RT-001A;10.197.60.87;PIX, SWITCH\CISCO
MZ-MF-PIX-C0-RT-001B;10.197.60.88;PIX, SWITCH\CISCO
MZ-MF-PIX-C0-SW-001A;10.197.60.85;PIX, SWITCH\CISCO
MZ-MF-PIX-C0-SW-001B;10.197.60.86;PIX, SWITCH\CISCO
MZ-MF-PIX-C0-V-FW-002A;10.197.60.248;ASA/FIREWALL, PIX
MZ-MF-PIX-C0-V-FW-002B;10.197.60.249;ASA/FIREWALL, PIX
MZ-MF-PIX-CM-BC-001A;10.197.60.194;F5 BIG-IP, PIX
MZ-MF-PIX-CM-BC-001B;10.197.60.196;F5 BIG-IP, PIX
MZ-MF-PIX-CM-BC-002A;10.236.201.134;F5 BIG-IP, PIX
MZ-MF-PIX-CM-BC-002B;10.236.201.135;F5 BIG-IP, PIX
MZ-MF-PIX-CM-SR-001A;10.197.60.190;PIX, SWITCH\CISCO
MZ-MF-PIX-CM-SR-001B;10.197.60.191;PIX, SWITCH\CISCO
MZ-MPLS-P-1A;10.222.94.20;Migrados
MZ-MPLS-P-1B;10.222.94.21;Migrados
MZ-MPLS-P-1C;10.222.95.95;Migrados
MZ-MPLS-PE-1A;10.222.94.22;SWITCH\CISCO
MZ-MPLS-PE-1B;10.222.94.23;SWITCH\CISCO
MZ-MPLS-PE-2A;10.222.94.82;SWITCH\CISCO
MZ-MPLS-PE-2B;10.222.94.85;SWITCH\CISCO
MZ-MPLS-RR-2A;10.222.95.88;Migrados
MZ-MPLS-RR-2B;10.222.95.89;Migrados
MZ-MPLS-RR-2C;10.222.95.90;Migrados
MZ-MR-SR-3A;10.199.81.112;Migrados
MZ-MR-SR-3B;10.199.81.113;Migrados
MZ-MZA-FW-AG-1A;10.197.60.185;BackBone, FORTINET\FIREWALL
MZ-MZA-FW-AG-1B;10.197.60.188;BackBone, FORTINET\FIREWALL
MZ-MZA-N7K;10.211.5.202;Migrados
MZ-MZA-N7K-AG-1A;10.211.5.204;Migrados
MZ-MZA-N7K-AG-2A;10.197.60.220;Migrados
MZ-MZA-N7K-SDW-1A;10.197.60.221;Migrados
MZ-MZB-N7K;10.211.5.203;Migrados
MZ-MZB-N7K-AG-1B;10.211.5.205;Migrados
MZ-MZB-N7K-AG-2B;10.197.60.222;Migrados
MZ-MZB-N7K-SDW-1B;10.197.60.223;Migrados
MZ-PF-NSX-Edge-OCP-1A;10.236.205.176;NSX_VM
MZ-PF-NSX-Edge-OCP-1B;10.236.205.177;NSX_VM
MZ-PF-NSX-EDGE-OCP-2A;10.236.207.250;NSX_VM
MZ-PF-NSX-EDGE-OCP-2B;10.236.207.251;NSX_VM
MZ-PIX-RF-1A;10.197.60.83;PIX, SWITCH\CISCO
MZ-PIX-RF-1B;10.197.60.84;PIX, SWITCH\CISCO
MZ-PIX-SR-1A;10.197.60.184;PIX, SWITCH\CISCO
MZ-PIX-SR-1B;10.197.60.187;PIX, SWITCH\CISCO
MZ-PIX-SW-1A;10.197.60.81;PIX, SWITCH\CISCO
MZ-PIX-SW-1B;10.197.60.82;PIX, SWITCH\CISCO
MZ-PR-SR-1A;10.199.81.29;Migrados
MZ-PR-SR-1B;10.199.81.31;Migrados
MZ-PR-SR-2AB;10.226.84.10;Migrados
MZ-RT-PR-SW-2A;10.240.0.17;Migrados
MZ-RT-SR-1A;10.199.81.37;Migrados
MZ-RT-SR-1B;10.199.81.38;Migrados
MZ-SPB-FW-1A;10.238.128.134;BackBone, CHECKPOINT/FIREWALL
MZ-SPB-FW-1B;10.238.128.135;CHECKPOINT/FIREWALL
MZ-SPB-SWE-1A;10.238.128.132;Migrados
MZ-SPB-SWE-1B;10.238.128.133;Migrados
MZ-SPB-SWI-1A;10.238.128.130;Migrados
MZ-SPB-SWI-1B;10.238.128.131;Migrados
MZ-TM-SR-2A;10.222.186.254;BackBone
MZ-TM-SR-2B;10.222.186.255;BackBone
MZ-VD-SR-3A;10.199.81.114;Migrados
MZ-VD-SW-3AB;10.243.236.1;Migrados
MZ-VM-RL1SS-VOIP-B;10.244.35.250;MigradosNok
MZ-VV-AP-707;10.208.240.68;BackBone, CHECKPOINT/FIREWALL
MZ-WA-SR-1A;10.222.94.150;BackBone
MZ-WA-SR-1B;10.222.94.151;BackBone
MZ-WA-SW-4A;10.222.95.52;BackBone
MZ-WA-SW-4B;10.222.95.53;BackBone
MZ-WA-SW-5A;10.222.95.54;BackBone
MZ-WA-SW-5B;10.222.95.55;BackBone
MZCCSR001A;10.222.94.3;Migrados
MZCCSR001B;10.222.94.4;Migrados
MZDCGERFW001A;10.222.94.90;ASA/FIREWALL, NOCSOC_BACKBONE
MZDCGERFW001B;10.222.94.99;ASA/FIREWALL, NOCSOC_BACKBONE
MZDCGERSR100A;10.222.94.24;BackBone
MZDCGERSR100B;10.222.94.25;BackBone
MZDCWANFW001A;10.222.95.50;BackBone, CHECKPOINT/FIREWALL
MZDCWANFW001B;10.222.95.51;BackBone, CHECKPOINT/FIREWALL
MZITPF0SR001A;10.215.237.210;RouterReflector
MZITPF0SR001B;10.215.237.211;RouterReflector
MZITPFMLB002A;10.215.122.209;F5 BIG-IP, PessoaFisica
